# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI);
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.;
# ;
# ;
# STN      LON(east)   LAT(north)     ALT(m)  NAME;
# 240:         4.790       52.318      -3.30  SCHIPHOL;
# ;
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# VVN      = Minimum opgetreden zicht; 0: <100 m, 1:100-200 m, 2:200-300 m,..., 49:4900-5000 m, 50:5-6 km, 56:6-7 km, 57:7-8 km,..., 79:29-30 km, 80:30-35 km, 81:35-40 km,..., 89: >70 km)
# ;
# STN,YYYYMMDD,  VVN;
# ;
  240,20170101,    1;
  240,20170102,   27;
  240,20170103,   61;
  240,20170104,   38;
  240,20170105,   65;
  240,20170106,   47;
  240,20170107,    1;
  240,20170108,    2;
  240,20170109,    2;
  240,20170110,   58;
  240,20170111,   33;
  240,20170112,   28;
  240,20170113,   24;
  240,20170114,   38;
  240,20170115,   65;
  240,20170116,    4;
  240,20170117,    8;
  240,20170118,    2;
  240,20170119,   26;
  240,20170120,   49;
  240,20170121,   42;
  240,20170122,    0;
  240,20170123,    0;
  240,20170124,    1;
  240,20170125,   16;
  240,20170126,   57;
  240,20170127,   59;
  240,20170128,   64;
  240,20170129,   56;
  240,20170130,   13;
  240,20170131,   56;
  240,20170201,   10;
  240,20170202,   41;
  240,20170203,   60;
  240,20170204,   22;
  240,20170205,    1;
  240,20170206,   34;
  240,20170207,   18;
  240,20170208,   25;
  240,20170209,   50;
  240,20170210,   20;
  240,20170211,    2;
  240,20170212,    7;
  240,20170213,   40;
  240,20170214,   57;
  240,20170215,   56;
  240,20170216,   16;
  240,20170217,    4;
  240,20170218,    1;
  240,20170219,   25;
  240,20170220,   18;
  240,20170221,   24;
  240,20170222,   32;
  240,20170223,   32;
  240,20170224,   61;
  240,20170225,   59;
  240,20170226,   19;
  240,20170227,   58;
  240,20170228,   42;
  240,20170301,   44;
  240,20170302,   50;
  240,20170303,   59;
  240,20170304,   58;
  240,20170305,   61;
  240,20170306,   40;
  240,20170307,   32;
  240,20170308,   26;
  240,20170309,    1;
  240,20170310,    4;
  240,20170311,   67;
  240,20170312,   75;
  240,20170313,   56;
  240,20170314,   50;
  240,20170315,   57;
  240,20170316,   42;
  240,20170317,   29;
  240,20170318,   25;
  240,20170319,   33;
  240,20170320,   26;
  240,20170321,   59;
  240,20170322,   62;
  240,20170323,   59;
  240,20170324,   58;
  240,20170325,   70;
  240,20170326,   60;
  240,20170327,   56;
  240,20170328,   59;
  240,20170329,   61;
  240,20170330,   69;
  240,20170331,   67;
  240,20170401,   34;
  240,20170402,   44;
  240,20170403,   32;
  240,20170404,   22;
  240,20170405,   19;
  240,20170406,   61;
  240,20170407,   59;
  240,20170408,   62;
  240,20170409,   57;
  240,20170410,   59;
  240,20170411,   68;
  240,20170412,   50;
  240,20170413,   60;
  240,20170414,   58;
  240,20170415,   56;
  240,20170416,   57;
  240,20170417,   33;
  240,20170418,   58;
  240,20170419,   75;
  240,20170420,   67;
  240,20170421,   38;
  240,20170422,   58;
  240,20170423,   63;
  240,20170424,   59;
  240,20170425,   61;
  240,20170426,   63;
  240,20170427,   60;
  240,20170428,   58;
  240,20170429,   65;
  240,20170430,   75;
  240,20170501,   61;
  240,20170502,   30;
  240,20170503,   36;
  240,20170504,   60;
  240,20170505,   60;
  240,20170506,   50;
  240,20170507,   50;
  240,20170508,   59;
  240,20170509,   65;
  240,20170510,   70;
  240,20170511,   65;
  240,20170512,   47;
  240,20170513,   35;
  240,20170514,   21;
  240,20170515,   62;
  240,20170516,   75;
  240,20170517,   61;
  240,20170518,   41;
  240,20170519,   43;
  240,20170520,   50;
  240,20170521,   59;
  240,20170522,   65;
  240,20170523,   61;
  240,20170524,   57;
  240,20170525,    4;
  240,20170526,   70;
  240,20170527,   75;
  240,20170528,   70;
  240,20170529,   30;
  240,20170530,   30;
  240,20170531,   61;
  240,20170601,   65;
  240,20170602,   70;
  240,20170603,   57;
  240,20170604,   56;
  240,20170605,   70;
  240,20170606,   49;
  240,20170607,   58;
  240,20170608,   31;
  240,20170609,   34;
  240,20170610,   59;
  240,20170611,   66;
  240,20170612,   66;
  240,20170613,   65;
  240,20170614,   57;
  240,20170615,   61;
  240,20170616,   70;
  240,20170617,   60;
  240,20170618,   56;
  240,20170619,   65;
  240,20170620,   59;
  240,20170621,   75;
  240,20170622,    8;
  240,20170623,   56;
  240,20170624,   27;
  240,20170625,   49;
  240,20170626,   65;
  240,20170627,   56;
  240,20170628,   50;
  240,20170629,   59;
  240,20170630,   50;
  240,20170701,   50;
  240,20170702,   57;
  240,20170703,   60;
  240,20170704,   26;
  240,20170705,   66;
  240,20170706,   36;
  240,20170707,   50;
  240,20170708,   56;
  240,20170709,   65;
  240,20170710,   66;
  240,20170711,   58;
  240,20170712,   39;
  240,20170713,   65;
  240,20170714,   59;
  240,20170715,   56;
  240,20170716,   29;
  240,20170717,   24;
  240,20170718,   70;
  240,20170719,   62;
  240,20170720,   59;
  240,20170721,   65;
  240,20170722,   61;
  240,20170723,   60;
  240,20170724,   57;
  240,20170725,   60;
  240,20170726,   32;
  240,20170727,   65;
  240,20170728,   18;
  240,20170729,   27;
  240,20170730,   56;
  240,20170731,   69;
  240,20170801,   57;
  240,20170802,   61;
  240,20170803,   60;
  240,20170804,   64;
  240,20170805,   62;
  240,20170806,   65;
  240,20170807,   65;
  240,20170808,   58;
  240,20170809,   40;
  240,20170810,   56;
  240,20170811,   63;
  240,20170812,   27;
  240,20170813,   61;
  240,20170814,   65;
  240,20170815,   37;
  240,20170816,    0;
  240,20170817,   57;
  240,20170818,   63;
  240,20170819,   58;
  240,20170820,   70;
  240,20170821,   63;
  240,20170822,   65;
  240,20170823,   58;
  240,20170824,   45;
  240,20170825,   62;
  240,20170826,   56;
  240,20170827,    1;
  240,20170828,   15;
  240,20170829,   32;
  240,20170830,   31;
  240,20170831,   46;
  240,20170901,   61;
  240,20170902,   60;
  240,20170903,   59;
  240,20170904,   50;
  240,20170905,   34;
  240,20170906,   56;
  240,20170907,   58;
  240,20170908,   31;
  240,20170909,   60;
  240,20170910,   59;
  240,20170911,   36;
  240,20170912,   57;
  240,20170913,   58;
  240,20170914,   56;
  240,20170915,   65;
  240,20170916,   57;
  240,20170917,   20;
  240,20170918,   56;
  240,20170919,    1;
  240,20170920,   58;
  240,20170921,   62;
  240,20170922,   11;
  240,20170923,    3;
  240,20170924,    1;
  240,20170925,   32;
  240,20170926,   10;
  240,20170927,    1;
  240,20170928,    5;
  240,20170929,    1;
  240,20170930,   40;
  240,20171001,   58;
  240,20171002,   56;
  240,20171003,   56;
  240,20171004,   43;
  240,20171005,   34;
  240,20171006,   56;
  240,20171007,   22;
  240,20171008,   63;
  240,20171009,   42;
  240,20171010,   27;
  240,20171011,   57;
  240,20171012,   64;
  240,20171013,   49;
  240,20171014,   16;
  240,20171015,    6;
  240,20171016,   59;
  240,20171017,   61;
  240,20171018,   40;
  240,20171019,   18;
  240,20171020,   36;
  240,20171021,   62;
  240,20171022,   50;
  240,20171023,   14;
  240,20171024,   15;
  240,20171025,    4;
  240,20171026,   20;
  240,20171027,   68;
  240,20171028,   61;
  240,20171029,   61;
  240,20171030,   65;
  240,20171031,   61;
  240,20171101,   40;
  240,20171102,   57;
  240,20171103,   28;
  240,20171104,   50;
  240,20171105,   62;
  240,20171106,   63;
  240,20171107,    0;
  240,20171108,    1;
  240,20171109,   18;
  240,20171110,   50;
  240,20171111,   70;
  240,20171112,   58;
  240,20171113,   65;
  240,20171114,   18;
  240,20171115,    3;
  240,20171116,    8;
  240,20171117,   63;
  240,20171118,   38;
  240,20171119,   40;
  240,20171120,   24;
  240,20171121,   24;
  240,20171122,   36;
  240,20171123,   57;
  240,20171124,   61;
  240,20171125,   60;
  240,20171126,   61;
  240,20171127,   56;
  240,20171128,   31;
  240,20171129,   45;
  240,20171130,   50;
  240,20171201,    0;
  240,20171202,    1;
  240,20171203,   15;
  240,20171204,   59;
  240,20171206,   65;
  240,20171207,   29;
  240,20171208,   27;
  240,20171209,   34;
  240,20171210,    5;
  240,20171211,    4;
  240,20171212,   56;
  240,20171213,   32;
  240,20171214,   23;
  240,20171215,    1;
  240,20171216,   23;
  240,20171217,   23;
  240,20171218,    1;
  240,20171219,    2;
  240,20171220,    8;
  240,20171221,    1;
  240,20171222,    2;
  240,20171223,   35;
  240,20171224,   28;
  240,20171225,   50;
  240,20171226,   50;
  240,20171227,   56;
  240,20171228,   67;
  240,20171229,   33;
  240,20171230,   35;
  240,20171231,   46;
